Country Code,Country Name,Cluster Label,Model Used,Year,Predicted LPI Score,CI Lower,CI Upper,R2 Train,RMSE Train,MAE Train,Test Error
JOR,Jordan,Mid-Low Performers,Linear,2024,2.822,2.667,2.977,0.032,0.104,0.084,0.017
JOR,Jordan,Mid-Low Performers,Linear,2025,2.827,2.672,2.982,0.032,0.104,0.084,0.017
JOR,Jordan,Mid-Low Performers,Linear,2026,2.831,2.676,2.986,0.032,0.104,0.084,0.017
SAU,Saudi Arabia,Mid-High Performers,Linear,2024,3.02,2.927,3.113,0.604,0.064,0.042,0.369
SAU,Saudi Arabia,Mid-High Performers,Linear,2025,3.009,2.916,3.102,0.604,0.064,0.042,0.369
SAU,Saudi Arabia,Mid-High Performers,Linear,2026,2.998,2.905,3.091,0.604,0.064,0.042,0.369
ARE,United Arab Emirates,High Performers,Linear,2024,4.104,3.966,4.242,0.739,0.093,0.068,0.072
ARE,United Arab Emirates,High Performers,Linear,2025,4.137,3.999,4.275,0.739,0.093,0.068,0.072
ARE,United Arab Emirates,High Performers,Linear,2026,4.169,4.031,4.307,0.739,0.093,0.068,0.072
EGY,"Egypt, Arab Rep.",Mid-High Performers,Linear,2024,3.309,3.105,3.513,0.665,0.138,0.109,0.168
EGY,"Egypt, Arab Rep.",Mid-High Performers,Linear,2025,3.349,3.145,3.553,0.665,0.138,0.109,0.168
EGY,"Egypt, Arab Rep.",Mid-High Performers,Linear,2026,3.39,3.186,3.594,0.665,0.138,0.109,0.168
DEU,Germany,High Performers,Linear,2024,4.296,4.24,4.352,0.794,0.038,0.029,0.181
DEU,Germany,High Performers,Linear,2025,4.312,4.256,4.368,0.794,0.038,0.029,0.181
DEU,Germany,High Performers,Linear,2026,4.327,4.271,4.383,0.794,0.038,0.029,0.181
SGP,Singapore,High Performers,Linear,2024,3.964,3.912,4.016,0.639,0.035,0.024,0.325
SGP,Singapore,High Performers,Linear,2025,3.953,3.901,4.005,0.639,0.035,0.024,0.325
SGP,Singapore,High Performers,Linear,2026,3.942,3.89,3.994,0.639,0.035,0.024,0.325
CHN,China,High Performers,Linear,2024,3.788,3.743,3.833,0.942,0.03,0.021,0.065
CHN,China,High Performers,Linear,2025,3.811,3.766,3.856,0.942,0.03,0.021,0.065
CHN,China,High Performers,Linear,2026,3.834,3.789,3.879,0.942,0.03,0.021,0.065
USA,United States,High Performers,Linear,2024,3.98,3.937,4.023,0.474,0.029,0.021,0.173
USA,United States,High Performers,Linear,2025,3.986,3.943,4.029,0.474,0.029,0.021,0.173
USA,United States,High Performers,Linear,2026,3.993,3.95,4.036,0.474,0.029,0.021,0.173
