Country Code,Country Name,Year,Actual,Predicted,Residual,Model Used
JOR,Jordan,2007,2.89,2.745,0.145,Linear
JOR,Jordan,2008,2.839,2.75,0.09,Linear
JOR,Jordan,2009,2.788,2.754,0.034,Linear
JOR,Jordan,2010,2.738,2.759,-0.021,Linear
JOR,Jordan,2011,2.647,2.763,-0.116,Linear
JOR,Jordan,2012,2.557,2.768,-0.211,Linear
JOR,Jordan,2013,2.715,2.772,-0.057,Linear
JOR,Jordan,2014,2.874,2.777,0.097,Linear
JOR,Jordan,2015,2.915,2.781,0.134,Linear
JOR,Jordan,2016,2.957,2.786,0.171,Linear
JOR,Jordan,2017,2.822,2.79,0.032,Linear
JOR,Jordan,2018,2.688,2.795,-0.107,Linear
JOR,Jordan,2019,2.784,2.799,-0.016,Linear
JOR,Jordan,2020,2.787,2.804,-0.017,Linear
JOR,Jordan,2021,2.791,2.808,-0.017,Linear
SAU,Saudi Arabia,2007,3.019,3.212,-0.193,Linear
SAU,Saudi Arabia,2008,3.086,3.201,-0.114,Linear
SAU,Saudi Arabia,2009,3.154,3.189,-0.036,Linear
SAU,Saudi Arabia,2010,3.221,3.178,0.043,Linear
SAU,Saudi Arabia,2011,3.199,3.167,0.033,Linear
SAU,Saudi Arabia,2012,3.178,3.155,0.022,Linear
SAU,Saudi Arabia,2013,3.163,3.144,0.019,Linear
SAU,Saudi Arabia,2014,3.148,3.133,0.016,Linear
SAU,Saudi Arabia,2015,3.152,3.122,0.031,Linear
SAU,Saudi Arabia,2016,3.156,3.11,0.046,Linear
SAU,Saudi Arabia,2017,3.084,3.099,-0.015,Linear
SAU,Saudi Arabia,2018,3.011,3.088,-0.077,Linear
SAU,Saudi Arabia,2019,3.085,3.076,0.009,Linear
SAU,Saudi Arabia,2020,3.071,3.065,0.006,Linear
SAU,Saudi Arabia,2021,3.055,3.054,0.001,Linear
SAU,Saudi Arabia,2022,3.037,3.043,-0.006,Linear
ARE,United Arab Emirates,2007,3.728,3.551,0.176,Linear
ARE,United Arab Emirates,2008,3.695,3.584,0.111,Linear
ARE,United Arab Emirates,2009,3.663,3.616,0.046,Linear
ARE,United Arab Emirates,2010,3.63,3.649,-0.019,Linear
ARE,United Arab Emirates,2011,3.704,3.681,0.023,Linear
ARE,United Arab Emirates,2012,3.778,3.714,0.064,Linear
ARE,United Arab Emirates,2013,3.659,3.746,-0.088,Linear
ARE,United Arab Emirates,2014,3.539,3.779,-0.24,Linear
ARE,United Arab Emirates,2015,3.74,3.812,-0.071,Linear
ARE,United Arab Emirates,2016,3.942,3.844,0.098,Linear
ARE,United Arab Emirates,2017,3.949,3.877,0.072,Linear
ARE,United Arab Emirates,2018,3.956,3.909,0.047,Linear
ARE,United Arab Emirates,2019,3.931,3.942,-0.01,Linear
ARE,United Arab Emirates,2020,3.967,3.974,-0.007,Linear
ARE,United Arab Emirates,2021,4.005,4.007,-0.002,Linear
ARE,United Arab Emirates,2022,4.045,4.039,0.006,Linear
EGY,"Egypt, Arab Rep.",2007,2.371,2.614,-0.243,Linear
EGY,"Egypt, Arab Rep.",2008,2.452,2.655,-0.203,Linear
EGY,"Egypt, Arab Rep.",2009,2.533,2.696,-0.162,Linear
EGY,"Egypt, Arab Rep.",2010,2.615,2.737,-0.122,Linear
EGY,"Egypt, Arab Rep.",2011,2.797,2.777,0.019,Linear
EGY,"Egypt, Arab Rep.",2012,2.979,2.818,0.161,Linear
EGY,"Egypt, Arab Rep.",2013,2.972,2.859,0.113,Linear
EGY,"Egypt, Arab Rep.",2014,2.966,2.9,0.066,Linear
EGY,"Egypt, Arab Rep.",2015,3.075,2.941,0.135,Linear
EGY,"Egypt, Arab Rep.",2016,3.185,2.982,0.203,Linear
EGY,"Egypt, Arab Rep.",2017,3.005,3.023,-0.018,Linear
EGY,"Egypt, Arab Rep.",2018,2.825,3.063,-0.239,Linear
EGY,"Egypt, Arab Rep.",2019,3.113,3.104,0.008,Linear
EGY,"Egypt, Arab Rep.",2020,3.144,3.145,-0.001,Linear
EGY,"Egypt, Arab Rep.",2021,3.171,3.186,-0.015,Linear
EGY,"Egypt, Arab Rep.",2022,3.196,3.227,-0.031,Linear
DEU,Germany,2007,4.099,4.039,0.06,Linear
DEU,Germany,2008,4.104,4.054,0.05,Linear
DEU,Germany,2009,4.109,4.069,0.04,Linear
DEU,Germany,2010,4.114,4.084,0.03,Linear
DEU,Germany,2011,4.074,4.099,-0.026,Linear
DEU,Germany,2012,4.033,4.115,-0.082,Linear
DEU,Germany,2013,4.077,4.13,-0.052,Linear
DEU,Germany,2014,4.122,4.145,-0.023,Linear
DEU,Germany,2015,4.174,4.16,0.014,Linear
DEU,Germany,2016,4.226,4.175,0.051,Linear
DEU,Germany,2017,4.214,4.19,0.023,Linear
DEU,Germany,2018,4.201,4.206,-0.004,Linear
DEU,Germany,2019,4.216,4.221,-0.005,Linear
DEU,Germany,2020,4.232,4.236,-0.003,Linear
DEU,Germany,2021,4.25,4.251,-0.001,Linear
DEU,Germany,2022,4.268,4.266,0.002,Linear
SGP,Singapore,2007,4.19,4.152,0.038,Linear
SGP,Singapore,2008,4.157,4.141,0.016,Linear
SGP,Singapore,2009,4.123,4.13,-0.006,Linear
SGP,Singapore,2010,4.09,4.119,-0.029,Linear
SGP,Singapore,2011,4.108,4.108,0.0,Linear
SGP,Singapore,2012,4.126,4.097,0.029,Linear
SGP,Singapore,2013,4.065,4.086,-0.021,Linear
SGP,Singapore,2014,4.004,4.075,-0.07,Linear
SGP,Singapore,2015,4.074,4.064,0.01,Linear
SGP,Singapore,2016,4.144,4.053,0.091,Linear
SGP,Singapore,2017,4.07,4.042,0.028,Linear
SGP,Singapore,2018,3.996,4.031,-0.034,Linear
SGP,Singapore,2019,4.016,4.02,-0.004,Linear
SGP,Singapore,2020,4.004,4.009,-0.004,Linear
SGP,Singapore,2021,3.993,3.997,-0.004,Linear
SGP,Singapore,2022,3.982,3.986,-0.004,Linear
CHN,China,2007,3.322,3.396,-0.074,Linear
CHN,China,2008,3.378,3.419,-0.042,Linear
CHN,China,2009,3.433,3.442,-0.009,Linear
CHN,China,2010,3.489,3.465,0.024,Linear
CHN,China,2011,3.503,3.488,0.015,Linear
CHN,China,2012,3.517,3.511,0.006,Linear
CHN,China,2013,3.524,3.535,-0.01,Linear
CHN,China,2014,3.531,3.558,-0.026,Linear
CHN,China,2015,3.596,3.581,0.016,Linear
CHN,China,2016,3.661,3.604,0.057,Linear
CHN,China,2017,3.633,3.627,0.006,Linear
CHN,China,2018,3.605,3.65,-0.045,Linear
CHN,China,2019,3.675,3.673,0.002,Linear
CHN,China,2020,3.697,3.696,0.001,Linear
CHN,China,2021,3.718,3.719,-0.001,Linear
CHN,China,2022,3.739,3.742,-0.003,Linear
USA,United States,2007,3.844,3.87,-0.026,Linear
USA,United States,2008,3.848,3.876,-0.029,Linear
USA,United States,2009,3.852,3.883,-0.031,Linear
USA,United States,2010,3.856,3.889,-0.033,Linear
USA,United States,2011,3.893,3.896,-0.003,Linear
USA,United States,2012,3.93,3.902,0.028,Linear
USA,United States,2013,3.924,3.909,0.015,Linear
USA,United States,2014,3.918,3.915,0.003,Linear
USA,United States,2015,3.955,3.921,0.034,Linear
USA,United States,2016,3.992,3.928,0.064,Linear
USA,United States,2017,3.939,3.934,0.004,Linear
USA,United States,2018,3.885,3.941,-0.056,Linear
USA,United States,2019,3.947,3.947,-0.0,Linear
USA,United States,2020,3.952,3.954,-0.002,Linear
USA,United States,2021,3.956,3.96,-0.004,Linear
USA,United States,2022,3.959,3.967,-0.007,Linear
