Country Code,Country Name,Region,Income Group,Indicator Code,Indicator Short,Indicator Type,Year,Value
AFG,Afghanistan,South Asia,Low income,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,150.0
AFG,Afghanistan,South Asia,Low income,LP.LPI.TRAC.XQ,Tracking Score,Score,2007,1.0
AFG,Afghanistan,South Asia,Low income,LP.LPI.LOGS.RK,LP.LPI.LOGS.RK,Rank,2007,150.0
AFG,Afghanistan,South Asia,Low income,LP.LPI.LOGS.XQ,Logistics Quality Score,Score,2007,1.25
AFG,Afghanistan,South Asia,Low income,LP.LPI.ITRN.RK,LP.LPI.ITRN.RK,Rank,2007,150.0
AFG,Afghanistan,South Asia,Low income,LP.LPI.ITRN.XQ,Int. Shipments Score,Score,2007,1.22222
AFG,Afghanistan,South Asia,Low income,LP.LPI.CUST.RK,LP.LPI.CUST.RK,Rank,2007,150.0
AFG,Afghanistan,South Asia,Low income,LP.LPI.CUST.XQ,Customs Score,Score,2007,1.3
AFG,Afghanistan,South Asia,Low income,LP.LPI.TIME.RK,LP.LPI.TIME.RK,Rank,2007,150.0
AFG,Afghanistan,South Asia,Low income,LP.LPI.TIME.XQ,Timeliness Score,Score,2007,1.375
AFG,Afghanistan,South Asia,Low income,LP.LPI.OVRL.RK,LPI Overall Rank,Rank,2007,150.0
AFG,Afghanistan,South Asia,Low income,LP.LPI.OVRL.RK.LB,LP.LPI.OVRL.RK.LB,Rank,2007,
AFG,Afghanistan,South Asia,Low income,LP.LPI.OVRL.RK.UB,LP.LPI.OVRL.RK.UB,Rank,2007,
AFG,Afghanistan,South Asia,Low income,LP.LPI.OVRL.XQ,LPI Overall Score,Score,2007,1.21166935036926
AFG,Afghanistan,South Asia,Low income,LP.LPI.OVRL.XQ.LB,LP.LPI.OVRL.XQ.LB,Rank,2007,
AFG,Afghanistan,South Asia,Low income,LP.LPI.OVRL.XQ.UB,LP.LPI.OVRL.XQ.UB,Rank,2007,
AFG,Afghanistan,South Asia,Low income,LP.LPI.OVRL.RK.ZS,LP.LPI.OVRL.RK.ZS,Rank,2007,6.63470449418892
AFG,Afghanistan,South Asia,Low income,LP.LPI.INFR.RK,LP.LPI.INFR.RK,Rank,2007,150.0
AFG,Afghanistan,South Asia,Low income,LP.LPI.INFR.XQ,Infrastructure Score,Score,2007,1.1
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,145.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.TRAC.XQ,Tracking Score,Score,2007,1.66667
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.LOGS.RK,LP.LPI.LOGS.RK,Rank,2007,130.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.LOGS.XQ,Logistics Quality Score,Score,2007,2.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.ITRN.RK,LP.LPI.ITRN.RK,Rank,2007,109.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.ITRN.XQ,Int. Shipments Score,Score,2007,2.33333
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.CUST.RK,LP.LPI.CUST.RK,Rank,2007,132.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.CUST.XQ,Customs Score,Score,2007,2.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.TIME.RK,LP.LPI.TIME.RK,Rank,2007,144.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.TIME.XQ,Timeliness Score,Score,2007,2.125
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.OVRL.RK,LPI Overall Rank,Rank,2007,139.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.OVRL.RK.LB,LP.LPI.OVRL.RK.LB,Rank,2007,
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.OVRL.RK.UB,LP.LPI.OVRL.RK.UB,Rank,2007,
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.OVRL.XQ,LPI Overall Score,Score,2007,2.08137637586293
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.OVRL.XQ.LB,LP.LPI.OVRL.XQ.LB,Rank,2007,
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.OVRL.XQ.UB,LP.LPI.OVRL.XQ.UB,Rank,2007,
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.OVRL.RK.ZS,LP.LPI.OVRL.RK.ZS,Rank,2007,33.895378279053
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.INFR.RK,LP.LPI.INFR.RK,Rank,2007,78.0
ALB,Albania,Europe & Central Asia,Upper middle income,LP.LPI.INFR.XQ,Infrastructure Score,Score,2007,2.33333
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,108.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.TRAC.XQ,Tracking Score,Score,2007,2.27273
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.LOGS.RK,LP.LPI.LOGS.RK,Rank,2007,139.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.LOGS.XQ,Logistics Quality Score,Score,2007,1.91667
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.ITRN.RK,LP.LPI.ITRN.RK,Rank,2007,139.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.ITRN.XQ,Int. Shipments Score,Score,2007,2.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.CUST.RK,LP.LPI.CUST.RK,Rank,2007,148.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.CUST.XQ,Customs Score,Score,2007,1.6
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.TIME.RK,LP.LPI.TIME.RK,Rank,2007,103.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.TIME.XQ,Timeliness Score,Score,2007,2.81818
