Country Code,Country Name,Region,Income Group,Cluster,Cluster Label,LPI_Overall
AFG,Afghanistan,South Asia,Low income,3,Low Performers,1.9
AGO,Angola,Sub-Saharan Africa,Lower middle income,3,Low Performers,2.1
ALB,Albania,Europe & Central Asia,Upper middle income,3,Low Performers,2.5
ARE,United Arab Emirates,Middle East & North Africa,High income,2,High Performers,4.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.8
ARM,Armenia,Europe & Central Asia,Lower middle income,3,Low Performers,2.5
AUS,Australia,East Asia & Pacific,High income,2,High Performers,3.7
AUT,Austria,Europe & Central Asia,High income,2,High Performers,4.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,3,Low Performers,2.448376
BDI,Burundi,Sub-Saharan Africa,Low income,3,Low Performers,2.063609
BEL,Belgium,Europe & Central Asia,High income,2,High Performers,4.0
BEN,Benin,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.9
BFA,Burkina Faso,Sub-Saharan Africa,Low income,3,Low Performers,2.3
BGD,Bangladesh,South Asia,Lower middle income,1,Mid-Low Performers,2.6
BGR,Bulgaria,Europe & Central Asia,Upper middle income,0,Mid-High Performers,3.2
BHR,Bahrain,Middle East & North Africa,High income,0,Mid-High Performers,3.5
BHS,"Bahamas, The",Latin America & Caribbean,High income,1,Mid-Low Performers,2.7
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1,Mid-Low Performers,3.0
BLR,Belarus,Europe & Central Asia,Upper middle income,1,Mid-Low Performers,2.7
BOL,Bolivia,Latin America & Caribbean,Lower middle income,3,Low Performers,2.4
BRA,Brazil,Latin America & Caribbean,Upper middle income,0,Mid-High Performers,3.2
BRN,Brunei Darussalam,East Asia & Pacific,High income,1,Mid-Low Performers,2.706557
BTN,Bhutan,South Asia,Lower middle income,3,Low Performers,2.5
BWA,Botswana,Sub-Saharan Africa,Upper middle income,0,Mid-High Performers,3.1
CAF,Central African Republic,Sub-Saharan Africa,Low income,3,Low Performers,2.5
CAN,Canada,North America,High income,2,High Performers,4.0
CHE,Switzerland,Europe & Central Asia,High income,2,High Performers,4.1
CHL,Chile,Latin America & Caribbean,High income,1,Mid-Low Performers,3.0
CHN,China,East Asia & Pacific,Upper middle income,2,High Performers,3.7
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,0,Mid-High Performers,3.082253
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,3,Low Performers,2.1
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,3,Low Performers,2.5
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1,Mid-Low Performers,2.6
COL,Colombia,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.9
COM,Comoros,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.557098
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.9
CUB,Cuba,Latin America & Caribbean,Upper middle income,3,Low Performers,2.2
CYP,Cyprus,Europe & Central Asia,High income,0,Mid-High Performers,3.2
CZE,Czech Republic,Europe & Central Asia,High income,0,Mid-High Performers,3.3
DEU,Germany,Europe & Central Asia,High income,2,High Performers,4.1
DJI,Djibouti,Middle East & North Africa,Lower middle income,1,Mid-Low Performers,2.7
DNK,Denmark,Europe & Central Asia,High income,2,High Performers,4.1
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.6
DZA,Algeria,Middle East & North Africa,Upper middle income,3,Low Performers,2.5
ECU,Ecuador,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.881649
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,0,Mid-High Performers,3.1
ERI,Eritrea,Sub-Saharan Africa,Low income,3,Low Performers,2.087142
ESP,Spain,Europe & Central Asia,High income,2,High Performers,3.9
EST,Estonia,Europe & Central Asia,High income,2,High Performers,3.6
ETH,Ethiopia,Sub-Saharan Africa,Low income,3,Low Performers,2.376767
FIN,Finland,Europe & Central Asia,High income,2,High Performers,4.2
FJI,Fiji,East Asia & Pacific,Upper middle income,3,Low Performers,2.3
FRA,France,Europe & Central Asia,High income,2,High Performers,3.9
GAB,Gabon,Sub-Saharan Africa,Upper middle income,3,Low Performers,2.4
GBR,United Kingdom,Europe & Central Asia,High income,2,High Performers,3.7
GEO,Georgia,Europe & Central Asia,Lower middle income,1,Mid-Low Performers,2.7
GHA,Ghana,Sub-Saharan Africa,Lower middle income,3,Low Performers,2.5
GIN,Guinea,Sub-Saharan Africa,Low income,3,Low Performers,2.5
GMB,"Gambia, The",Sub-Saharan Africa,Low income,3,Low Performers,2.3
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.6
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,3,Low Performers,2.317643
GRC,Greece,Europe & Central Asia,High income,2,High Performers,3.7
GTM,Guatemala,Latin America & Caribbean,Lower middle income,1,Mid-Low Performers,2.6
GUY,Guyana,Latin America & Caribbean,Upper middle income,3,Low Performers,2.4
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2,High Performers,4.0
HND,Honduras,Latin America & Caribbean,Lower middle income,1,Mid-Low Performers,2.9
HRV,Croatia,Europe & Central Asia,Upper middle income,0,Mid-High Performers,3.3
HTI,Haiti,Latin America & Caribbean,Low income,3,Low Performers,2.1
HUN,Hungary,Europe & Central Asia,High income,0,Mid-High Performers,3.2
IDN,Indonesia,East Asia & Pacific,Lower middle income,1,Mid-Low Performers,3.0
IND,India,South Asia,Lower middle income,0,Mid-High Performers,3.4
IRL,Ireland,Europe & Central Asia,High income,2,High Performers,3.6
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,3,Low Performers,2.3
IRQ,Iraq,Middle East & North Africa,Upper middle income,3,Low Performers,2.4
ISL,Iceland,Europe & Central Asia,High income,2,High Performers,3.6
ISR,Israel,Middle East & North Africa,High income,2,High Performers,3.6
ITA,Italy,Europe & Central Asia,High income,2,High Performers,3.7
JAM,Jamaica,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.5
JOR,Jordan,Middle East & North Africa,Lower middle income,1,Mid-Low Performers,2.687973
JPN,Japan,East Asia & Pacific,High income,2,High Performers,3.9
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,1,Mid-Low Performers,2.7
KEN,Kenya,Sub-Saharan Africa,Lower middle income,1,Mid-Low Performers,2.814935
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,3,Low Performers,2.3
KHM,Cambodia,East Asia & Pacific,Lower middle income,3,Low Performers,2.4
KOR,"Korea, Rep.",East Asia & Pacific,High income,2,High Performers,3.8
KWT,Kuwait,Middle East & North Africa,High income,0,Mid-High Performers,3.2
LAO,Lao PDR,East Asia & Pacific,Lower middle income,3,Low Performers,2.4
LBN,Lebanon,Middle East & North Africa,Upper middle income,1,Mid-Low Performers,2.716853
LBR,Liberia,Sub-Saharan Africa,Low income,3,Low Performers,2.4
LBY,Libya,Middle East & North Africa,Upper middle income,3,Low Performers,1.9
LKA,Sri Lanka,South Asia,Lower middle income,1,Mid-Low Performers,2.8
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,3,Low Performers,2.277266
LTU,Lithuania,Europe & Central Asia,High income,0,Mid-High Performers,3.4
LUX,Luxembourg,Europe & Central Asia,High income,2,High Performers,3.6
LVA,Latvia,Europe & Central Asia,High income,0,Mid-High Performers,3.5
MAR,Morocco,Middle East & North Africa,Lower middle income,1,Mid-Low Performers,2.539661
MDA,Moldova,Europe & Central Asia,Lower middle income,1,Mid-Low Performers,2.5
MDG,Madagascar,Sub-Saharan Africa,Low income,3,Low Performers,2.3
MDV,Maldives,South Asia,Upper middle income,1,Mid-Low Performers,2.665471
MEX,Mexico,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.9
