Country Code,Country Name,Region,Income Group,Year,Customs,Infrastructure,International_Shipments,LPI_Overall,Logistics_Quality,Timeliness,Tracking_Tracing,Cluster,Cluster Label
JOR,Jordan,Middle East & North Africa,Lower middle income,2007,2.61538,2.61538,3.08333,2.88991953237379,3.0,3.16667,2.84615,1,Mid-High Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2008,2.5126,2.6412,3.0913,2.8392,2.831,3.2406,2.6736,0,Mid-High Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2009,2.4099,2.667,3.0992,2.7885,2.6619,3.3146,2.5011,3,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2010,2.307143,2.692857,3.107143,2.737719,2.492857,3.388572,2.328572,3,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2011,2.2899,2.5886,2.9957,2.6472,2.3336,3.1554,2.4379,0,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2012,2.272727,2.484298,2.884298,2.556634,2.17438,2.922314,2.547314,1,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2013,2.4345,2.5372,2.92,2.7153,2.5569,3.1911,2.607,0,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2014,2.596212,2.590152,2.955682,2.873924,2.939394,3.459975,2.666667,3,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2015,2.5745,2.6825,3.0647,2.9153,2.9152,3.3998,2.8125,1,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2016,2.552804,2.774781,3.1737,2.956611,2.891052,3.339701,2.95825,2,Mid-High Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2017,2.5221,2.7466,2.8085,2.8223,2.7181,3.2615,2.8653,3,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2018,2.491395,2.718464,2.443329,2.687973,2.545078,3.183243,2.77235,3,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2019,2.5188,2.7281,2.6757,2.7836,2.6621,3.2777,2.8384,0,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2020,2.534,2.7459,2.6223,2.7871,2.6724,3.2807,2.8758,1,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2021,2.5509,2.7647,2.5667,2.7913,2.6854,3.2831,2.9159,1,Mid-Low Performers
JOR,Jordan,Middle East & North Africa,Lower middle income,2022,2.5694,2.7844,2.509,2.7963,2.7009,3.285,2.9588,1,Mid-Low Performers
